e205900734585de25ecf02d002969e9f4faf63aa	2026-07-31T19:30:51-06:00	John Lindquist	Build a 75-task visual consistency review explorer with neutral local verdicts
9206bb6fe2a8dcfe5e335319c78a9705a6651200	2026-07-31T20:39:15-06:00	John Lindquist	Report contract mappings, variants, profiles, and aliases as separate DevTools inventory namespaces
195e70e9db840cc1f6d81d96d4a153bd2d143a0a	2026-07-31T21:59:52-06:00	John Lindquist	Implement UX-002: establish one canonical shortcut token stream across GPUI and AppKit consumers
b7ac0aa8f704b9dbda4e34c17076ce72691920ff	2026-08-01T00:52:15-06:00	John Lindquist	Implement UX-001 and UX-017: type InfoState cues and make tone semantic without decorative washes
53ed38109212c6a967853c23872987339ff8244f	2026-08-01T02:53:43-06:00	John Lindquist	Implement UX-015: make static hint strips inert and reserve pointer chrome for real actions
b44b4f2ebf6a22e5d1ec7493b5bb9d3b59775d2f	2026-08-01T04:07:16-06:00	John Lindquist	Implement UX-006: consolidate row visual-state resolution without changing family geometry
37cea6b6980a2ed9e5787999779701fa949b6a29	2026-08-01T05:06:59-06:00	John Lindquist	Implement UX-010: remove false UnifiedListItem API branches and expose retained semantics
e005f5db2b5c43599d04db5459d05ad219b448b6	2026-08-01T10:47:13-06:00	John Lindquist	Implement UX-003 and UX-009 atomically: make Actions availability explicit and selection eligibility safe
7c725895024f03c97320def91393cf2a4bb676c2	2026-08-01T14:02:16-06:00	John Lindquist	Implement UX-004: drive native and GPUI footer behavior from one action descriptor
560c534a727c3ac48db8eb783853c49925e55078	2026-08-01T17:52:59-06:00	John Lindquist	Implement UX-005: type context, identity, and destination chip roles and actions
776d0ace9d8726b41862f4e28cd7cbc0026a5ea2	2026-08-01T20:44:46-06:00	John Lindquist	Implement UX-011: render menu-syntax fields through the shared form-field shell
5a931dce295a4bfd1f847b00757cf56323155bb6	2026-08-02T02:02:32-06:00	John Lindquist	Implement UX-012: move Actions search editing to the existing input owner
5ef3c45de02aac5a189e3a6eb82c9136393bfd7e	2026-08-02T06:54:59-06:00	John Lindquist	Implement UX-013: place searchable Actions at the top and freeze popup bounds
90d2dae909cdb098587333bf024132128fd77295	2026-08-02T20:50:19-06:00	John Lindquist	Implement UX-014: enforce generation-scoped popup lifecycle and exact focus return
3dbb3d22463ca3780905811b0c436b26c2076fd4	2026-08-03T03:08:49-06:00	John Lindquist	Implement UX-016: require stable control IDs and keyboard-operable toast and shortcut feedback
0c6b84e4b0125dd84fd91187c3f20109423e0879	2026-08-03T05:15:24-06:00	John Lindquist	Implement UX-007: add the approved launcher-family leading selection marker
