candidate_sha	lane	path	subsystem	classification	severity	confidence	finding_ids	evidence_refs	review_state
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/c02-context-lifecycle-v1/WF-001/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/c02-context-lifecycle-v1/WF-003/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/c03-entry-verbs-v1/WF-002/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/c03-entry-verbs-v1/WF-008/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/SAFE-001/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/SAFE-002/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/SAFE-003/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/SAFE-004/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-001/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-002/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-003/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-004/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-005/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-006/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-007/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-008/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-009/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-010/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-011/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-012/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-013/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-014/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
a3fc52549b4c1566bbfc585a79fa1c18478ddc86	05-proof-trust	.artifacts/consistency/cons-flow-ux/final-audit/WF-015/receipt.json	checked-in receipts	UNPROVEN_CLAIM	P1	C0	05-F006	receipts/checked-in-receipt-census.json	STATIC_REVIEWED
